xPos, yPos, lives
50 50 1
120 50 2
190 50 3
260 50 3
330 50 1
400 50 3
470 50 3
540 50 3
610 50 1
680 50 1
750 50 3
820 50 3
890 50 2
50 80 1
120 80 2
190 80 3
260 80 2
330 80 1
400 80 1
470 80 3
540 80 1
610 80 1
680 80 1
750 80 2
820 80 3
890 80 2
50 110 3
120 110 1
190 110 1
260 110 2
330 110 1
400 110 3
470 110 1
540 110 1
610 110 2
680 110 1
750 110 3
820 110 1
890 110 1
50 140 3
120 140 1
190 140 2
260 140 1
330 140 1
400 140 2
470 140 3
540 140 1
610 140 1
680 140 1
750 140 1
820 140 1
890 140 3
